name,category,post_count,aliases
swimsuit,0,326021,",bathing_suit,mizugi,swim_suit,swimsuits"
ahoge,0,322802,",cowlick"
red_hair,0,321522,"/redh,long_red_hair,red)hair,red-hair,red_head,redhair,redhead,short_red_hair"
mythological_creature,5,320162,",mythical_creature"
scalie,5,317020,",anthro_scalie,reptilian,reptilians,reptillian,scaley,scalies,scaly"
hair_ribbon,0,313398,"/hribbon,hair_ribbons,ribbon_hair_ornament,ribbon_in_hair,ribbons_in_hair"
braid,0,308967,",braided_hair,braids,hair_braid"
feral,0,308034,",adult_feral,bottomless_feral,caked_up_feral,feral_art,feral_on_non-humanoid_creature,feral_penetrated_young,feral_student,feral_teacher,feralanimal,feralcreature,ferall,ferals,ferl,ferla,ferral,fral,non-anthro,non-anthropomorphic,non-morphic,non_anthro,non_anthropomorphic,non_morphic,nonanthro,nonanthropomorphic,nonmorphic,quad,sapient_feral,sentient_feral,topless_feral"
short_sleeves,0,305284,",/ssleeves"
penile,0,303248,",penile_intercourse,penile_stimulation"
shoes,0,302340,shoe
translated,5,302204,"translatied,translation"
sidelocks,0,298906,",forelocks,payot"
muscular,0,295910,"beefcake,beefy,bodybuilder,buff,musclar,muscle,muscled,muscler,muscles,muscular_body,muscular_male,muslces,musuclar,strong,swole"
vaginal,0,295252,"piv,pussy_play,vaginal_intercourse,vaginal_penetration,vaginal_sex,vaginal_stimulation"
food,0,294076,",food_porn"
claws,0,293988,"caws,claw,claw_lift,claw_lifted,claw_lifting,claw_raised,claw_up,claws_lift,claws_lifted,claws_lifting,claws_out,claws_raised,claws_up,cute_claws,lift_claw,lift_claws,lifted_claw,lifted_claws,lifting_claw,lifting_claws,monotone_claws,raised_claw,raised_claws,sharp_claws,slaws"
ass,0,291394,",butt,butt_cheeks,buttocks,oshiri,rearend"
pants,0,290182,"long_pants,slacks,trousers"
bikini,0,287882,",biki"
glasses,0,286832,"dark_glasses,eye_glasses,eyeglasses,megane,meganekko,meganeko,spectacles"
toes,0,285566,",monotone_toes,toe"
thick_thighs,0,285364,"big_thighs,fat_thighs,large_thighs,thicc,thicc_thighs,thick-thighs,thick_legs,thick_thigh,thick_tighs,thighthick,thunder_thighs,wide_thighs"
looking_back,0,283948,"lookign_back,looking_behind,looking_over_shoulder,looks_back,over_shoulder,over_the_shoulder,turning"
heart,0,283912,",<3,hearts"
solo_focus,0,283670,",solo-focus"
greyscale,0,282844,"b&w,black_and_white,gray_and_white,gray_scale,grayscale,grey_and_white,grey_scale"
thighs,0,276186,",thigh"
one_eye_closed,0,276021,"eye_closed,eye_open,one_closed_eye,one_eye_open,one_eyes_closed,open_eye,wink"
hair_bow,0,275926,"bow_in_hair,hair_bows,hairbow"
sky,0,275027,"background_sky,dark_sky,light_sky,sky_background"
small_breasts,0,274583,",petanko,small_boobs,small_breast,small_tits,tiny_breasts"
translation_request,5,274090,"/tr,needs_translation,partially_translated,translate_request,translation_check,translation_needed,translation_requested,translationrequest,untranslated"
spread_legs,0,273930,"leg_spread,legs_apart,legs_open,legs_spread,legsapart,open_legs,spead_legs,spread_leg,spreading_legs,spreadlegs"
white_fur,0,272884,",whitefur,whtie_fur"
cowboy_shot,0,271948,
earrings,0,271820,",aqua_earrings,black_earrings,blue_earrings,brown_earrings,ear_ring,ear_rings,earring,green_earrings,grey_earrings,pink_earrings,purple_earrings,red_earrings,white_earrings,yellow_earrings"
:d,0,271392,
shorts,0,270277,short_pants
topwear,0,269118,",top_wear,topware,topwea"
hetero,0,267290,
signature,0,267112,"artist_signature,autograph,siganture,signature_artist_name,signed,signiture"
huge_breasts,0,264686,"/hb,enormous_breasts,giant_breasts,gigantic_breasts,huge_boobs,huge_breast,huge_tits"
outdoors,0,263768,",outdoor,outside"
barefoot,0,262024,"bare_feet,bare_foot,bare_paw,bare_paws,barefeet,barepaw,barepaws,bearfoot"
boots,0,261524,"boot,naked_boots"
pantyhose,0,261302,"panty_hose,tights"
male_penetrating,0,258016,",male_penetrating_alien,male_penetrating_robot"
dialogue,0,256527,",conversation,cursed_dialogue,dialgoue,dialog,dialouge,diolouge,monologue,speaking,speech,talking"
piercing,0,256088,"body_piercings,pearcing,peircing,peircings,pericings,pierced,piercings"
censored,0,255544,"cencored,censor,censoring,censorship,paywall_tease"
pokemon_(species),5,254776,",baby_pokemon,baby_pokémon,pokefur,pokemon(species),pokemon_(creature),pokemon_(creatures),pokemon_baby,pokemon_creatures,pokemon_species,pokesex,pokémon(species),pokémon_(creature),pokémon_(creatures),pokémon_(species),pokémon_baby,pokémon_creatures,pokémon_species,strange_shiny_pokemon"
fingers,0,252279,",figers,figners,finger,monotone_fingers"
male/male,0,251542,",fag,gay,gay_wrestling,homo,homosexual,m/m,m/m/m,male/male/male,male_kissing_male,male_male,male_on_male,male_top_male_bottom,male_x_male,malemale,malesbian,malexmale,mlm,mm,mmmm_foursome,yaoi"
kantai_collection,3,247623,"kancolle,kankore"
pleated_skirt,0,246184,
humanoid_genitalia,0,244958,",human_genital,human_genitalia,human_genitals,human_private_parts,human_sexual_organs,humanoid_genital,humanoid_genitalia_on_anthro,humanoid_genitals,humanoid_private_parts,humanoid_sexual_organs"
frills,0,242356,",frill,frilled,frilly,ruffles"
on_back,0,241406,"laying_back,laying_on_back,lying_back,lying_on_back,on-back,supine"
parted_lips,0,241066,
animal_genitalia,0,240574,",animal_anatomy,animal_genetalia,animal_genital,animal_genitalita,animal_genitals,feral_genital,feral_genitalia,feral_genitals"
open_clothes,0,240452,",open_clothing"
hairband,0,239746,hair_band
green_hair,0,237664,"/greenh,dark_green_hair,green)hair,greenhair,light_green_hair,long_green_hair,short_green_hair"
speech_bubble,0,236794,"bubble_text,dialogue_bubble,speach_bubble,speech_balloon,speech_balloons,speech_bubbles,talk_bubble,text_bubble,word_balloon,word_bubble"
necktie,0,235876,"neck_tie,tie"
biped,0,235626,",bipedal,bipede"
anal,0,234283,"anal_intercourse,anal_penetration,anal_play,anal_sex,anal_stimulation,ass_sex,butt_sex,buttsecks,buttsex,rectum"
pointy_ears,0,231180,"elf_ears,elven_ears,long_ears,point_ear,point_ears,pointed_ear,pointed_ears,pointy-ears,pointy_ear,pointy_eared"
group,0,229246,",1girl3guys,group_focus,male/male/female,quartet,too_many_characters"
multiple_boys,0,226475,",/nboys"
humanoid_penis,0,226076,",anthro_gynomorph_with_human_penis,anthro_herm_with_human_penis,anthro_intersex_with_human_penis,anthro_male_with_human_penis,anthro_maleherm_with_human_penis,humaanoid_penis,human_cock,human_dick,human_penis,human_penis_on_anthro,human_penis_on_feral,human_penis_on_humanoid,human_penis_on_non-human,human_penis_on_non-humanoid,human_penis_on_non_human,human_penis_on_non_humanoid,human_penis_on_nonhuman,human_penis_on_nonhumanoid,human_penis_on_taur,humaniod_penis,humanoid-penis,humanoid_cock,humanoid_dick,humanoid_peen,humanoid_penis_on_anthro,humanoid_penis_on_feral,humanoid_penis_on_humanoid,humanoid_penis_on_non-human,humanoid_penis_on_non-humanoid,humanoid_penis_on_non_human,humanoid_penis_on_non_humanoid,humanoid_penis_on_nonhuman,humanoid_penis_on_nonhumanoid,humanoid_penis_on_taur,huminoid_penis,non-humanoid_humanoid_penis,non_humanoid_humanoid_penis,nonhumanoid_humanoid_penis"
horns,0,225616,
